Accession	GeneName	UnipriotGeneName	MaxLCDLengthPerProtein	DataType
P04792	HSPB1	HSPB1_HUMAN	14	BACKGROUND
Q8NGY0	OR10X1	O10X1_HUMAN	18	BACKGROUND
Q8TAL5	C9orf43	CI043_HUMAN	30	BACKGROUND
Q6P9F5	TRIM40	TRI40_HUMAN	19	BACKGROUND
Q8NGU9	GPR150	GP150_HUMAN	30	BACKGROUND
Q6P9F7	LRRC8B	LRC8B_HUMAN	15	BACKGROUND
Q6P9F0	CCDC62	CCD62_HUMAN	12	BACKGROUND
Q9NRC8	SIRT7	SIR7_HUMAN	18	BACKGROUND
Q8NH67	OR52I2	O52I2_HUMAN	11	BACKGROUND
Q8NH73	OR4S2	OR4S2_HUMAN	16	BACKGROUND
Q8NH74	OR10A6	O10A6_HUMAN	18	BACKGROUND
P40123	CAP2	CAP2_HUMAN	23	BACKGROUND
Q8NGV5	OR13D1	O13D1_HUMAN	29	BACKGROUND
Q9NRD5	PICK1	PICK1_HUMAN	19	BACKGROUND
Q9NRD0	FBXO8	FBX8_HUMAN	14	BACKGROUND
Q8NGV0	OR2Y1	OR2Y1_HUMAN	12	BACKGROUND
Q9NRD1	FBXO6	FBX6_HUMAN	12	BACKGROUND
P40126	DCT	TYRP2_HUMAN	14	BACKGROUND
A6NCV1	OR6C74	O6C74_HUMAN	21	BACKGROUND
Q6IQ19	CCSAP	CCSAP_HUMAN	39	BACKGROUND
Q8TAM2	TTC8	TTC8_HUMAN	14	BACKGROUND
Q8TAM1	BBS10	BBS10_HUMAN	15	BACKGROUND
Q6IQ20	NAPEPLD	NAPEP_HUMAN	14	BACKGROUND
Q8TAM6	ERMN	ERMIN_HUMAN	18	BACKGROUND
Q6IQ22	RAB12	RAB12_HUMAN	36	BACKGROUND
Q6IQ21	ZNF770	ZN770_HUMAN	18	BACKGROUND
Q6IQ23	PLEKHA7	PKHA7_HUMAN	31	BACKGROUND
Q6P9G4	TMEM154	TM154_HUMAN	21	BACKGROUND
Q8NH76	OR56B4	O56B4_HUMAN	23	BACKGROUND
Q8NGW6	OR6K6	OR6K6_HUMAN	17	BACKGROUND
Q9NRC6	SPTBN5	SPTN5_HUMAN	31	BACKGROUND
Q8NH81	OR10G6	O10G6_HUMAN	7	BACKGROUND
Q8NGW1	OR6B3	OR6B3_HUMAN	18	BACKGROUND
Q9NRC1	ST7	ST7_HUMAN	18	BACKGROUND
Q5GFL6	VWA2	VWA2_HUMAN	14	BACKGROUND
Q8NH80	OR10D3	O10D3_HUMAN	27	BACKGROUND
Q6IQ26	DENND5A	DEN5A_HUMAN	13	BACKGROUND
Q499Z3	SLFNL1	SLNL1_HUMAN	25	BACKGROUND
Q499Z4	ZNF672	ZN672_HUMAN	37	BACKGROUND
P54253	ATXN1	ATX1_HUMAN	30	BACKGROUND
P54252	ATXN3	ATX3_HUMAN	15	BACKGROUND
P54257	HAP1	HAP1_HUMAN	28	BACKGROUND
P54259	ATN1	ATN1_HUMAN	37	BACKGROUND
Q3T8J9	GON4L	GON4L_HUMAN	36	BACKGROUND
Q9NRB3	CHST12	CHSTC_HUMAN	19	BACKGROUND
O60494	CUBN	CUBN_HUMAN	12	BACKGROUND
Q9NRA8	EIF4ENIF1	4ET_HUMAN	32	BACKGROUND
Q6IQ32	ADNP2	ADNP2_HUMAN	24	BACKGROUND
Q6IPR3	TYW3	TYW3_HUMAN	13	BACKGROUND
O60496	DOK2	DOK2_HUMAN	22	BACKGROUND
O60499	STX10	STX10_HUMAN	13	BACKGROUND
Q5VYP0	SPATA31A3	S31A3_HUMAN	35	BACKGROUND
P68036	UBE2L3	UB2L3_HUMAN	15	BACKGROUND
Q6TGC4	PADI6	PADI6_HUMAN	14	BACKGROUND
Q9H633	RPP21	RPP21_HUMAN	13	BACKGROUND
Q6IQ49	SDE2	SDE2_HUMAN	18	BACKGROUND
Q6P988	NOTUM	NOTUM_HUMAN	22	BACKGROUND
Q9NRA0	SPHK2	SPHK2_HUMAN	23	BACKGROUND
Q5VZ18	SHE	SHE_HUMAN	20	BACKGROUND
Q3KPI0	CEACAM21	CEA21_HUMAN	23	BACKGROUND
Q9NRA2	SLC17A5	S17A5_HUMAN	12	BACKGROUND
Q9NRA1	PDGFC	PDGFC_HUMAN	20	BACKGROUND
O60481	ZIC3	ZIC3_HUMAN	18	BACKGROUND
P11940	PABPC1	PABP1_HUMAN	18	GRPR
P0C6S8	LINGO3	LIGO3_HUMAN	17	BACKGROUND
Q8TAK5	GABPB2	GABP2_HUMAN	22	BACKGROUND
Q8TAK6	OLIG1	OLIG1_HUMAN	37	BACKGROUND
O60487	MPZL2	MPZL2_HUMAN	8	BACKGROUND
O60486	PLXNC1	PLXC1_HUMAN	28	BACKGROUND
Q8NGZ0	OR2AJ1	O2AJ1_HUMAN	23	BACKGROUND
P54278	PMS2	PMS2_HUMAN	13	BACKGROUND
Q8TAG6	C8orf46	CH046_HUMAN	15	BACKGROUND
Q6P995	FAM171B	F171B_HUMAN	23	BACKGROUND
P54274	TERF1	TERF1_HUMAN	41	BACKGROUND
Q6P996	PDXDC1	PDXD1_HUMAN	12	BACKGROUND
P17483	HOXB4	HXB4_HUMAN	37	BACKGROUND
P54277	PMS1	PMS1_HUMAN	17	BACKGROUND
Q8TAG9	EXOC6	EXOC6_HUMAN	20	BACKGROUND
P17482	HOXB9	HXB9_HUMAN	11	BACKGROUND
P17481	HOXB8	HXB8_HUMAN	15	BACKGROUND
Q8NGZ9	OR2T10	O2T10_HUMAN	15	BACKGROUND
P17480	UBTF	UBF1_HUMAN	60	BACKGROUND
A6QL64	ANKRD36	AN36A_HUMAN	17	BACKGROUND
A6QL63	BTBD11	BTBDB_HUMAN	50	BACKGROUND
Q5VYM1	C9orf131	CI131_HUMAN	26	BACKGROUND
Q8NGZ6	OR6F1	OR6F1_HUMAN	15	BACKGROUND
Q8NGZ5	OR2G2	OR2G2_HUMAN	23	BACKGROUND
Q8NGZ4	OR2G3	OR2G3_HUMAN	15	BACKGROUND
Q8NGZ2	OR14K1	O14K1_HUMAN	13	BACKGROUND
Q7KZF4	SND1	SND1_HUMAN	13	BACKGROUND
Q8NGY9	OR2L8	OR2L8_HUMAN	18	BACKGROUND
Q6IPT2	FAM71E1	F71E1_HUMAN	19	BACKGROUND
O60476	MAN1A2	MA1A2_HUMAN	17	BACKGROUND
O60477	DBC1	BRNP1_HUMAN	13	BACKGROUND
P54284	CACNB3	CACB3_HUMAN	17	BACKGROUND
Q6IPT4	CYB5RL	NB5R5_HUMAN	13	BACKGROUND
Q6IQ55	TTBK2	TTBK2_HUMAN	38	BACKGROUND
O60479	DLX3	DLX3_HUMAN	14	BACKGROUND
Q9H611	PIF1	PIF1_HUMAN	13	BACKGROUND
P54289	CACNA2D1	CA2D1_HUMAN	13	BACKGROUND
P48723	HSPA13	HSP13_HUMAN	16	BACKGROUND
P48729	CSNK1A1	KC1A_HUMAN	26	BACKGROUND
Q9H5P4	PDZD7	PDZD7_HUMAN	26	BACKGROUND
Q6IPU0	CENPP	CENPP_HUMAN	12	BACKGROUND
O60462	NRP2	NRP2_HUMAN	16	BACKGROUND
A8MTQ0	NOTO	NOTO_HUMAN	35	BACKGROUND
O60469	DSCAM	DSCAM_HUMAN	27	BACKGROUND
P05814	CSN2	CASB_HUMAN	21	BACKGROUND
Q8TAI1	TYMSOS	TYMOS_HUMAN	26	BACKGROUND
P05813	CRYBA1	CRBA1_HUMAN	15	BACKGROUND
Q5VYK3	KIAA0368	ECM29_HUMAN	31	GR_ONLY
Q8NHA8	null	OR1FC_HUMAN	27	BACKGROUND
Q9H607	OCEL1	OCEL1_HUMAN	22	BACKGROUND
Q9H606	CYorf17	PRORY_HUMAN	37	BACKGROUND
P54296	MYOM2	MYOM2_HUMAN	23	BACKGROUND
P48736	PIK3CG	PK3CG_HUMAN	22	BACKGROUND
Q8TAE6	PPP1R14C	PP14C_HUMAN	23	BACKGROUND
P48735	IDH2	IDHP_HUMAN	12	BACKGROUND
Q8TAE7	KCNG3	KCNG3_HUMAN	13	BACKGROUND
Q8TAE8	GADD45GIP1	G45IP_HUMAN	37	BACKGROUND
A6NDA9	LRIT2	LRIT2_HUMAN	17	BACKGROUND
Q8NHA6	null	OR2W6_HUMAN	20	BACKGROUND
Q8NHA4	OR2AE1	O2AE1_HUMAN	16	BACKGROUND
P48730	CSNK1D	KC1D_HUMAN	16	BACKGROUND
P48740	MASP1	MASP1_HUMAN	12	BACKGROUND
Q6J272	FAM166A	F166A_HUMAN	10	BACKGROUND
A1L443	FAM22F	NTM2F_HUMAN	22	BACKGROUND
Q5EBM0	CMPK2	CMPK2_HUMAN	24	BACKGROUND
Q9H5N1	RABEP2	RABE2_HUMAN	25	BACKGROUND
Q8NHB1	OR2V1	OR2V1_HUMAN	13	BACKGROUND
P48745	NOV	NOV_HUMAN	16	BACKGROUND
P48742	LHX1	LHX1_HUMAN	20	BACKGROUND
Q8TAF5	null	LQK1_HUMAN	16	BACKGROUND
Q6AW86	ZNF324B	Z324B_HUMAN	17	BACKGROUND
Q8TAF3	WDR48	WDR48_HUMAN	20	BACKGROUND
P17405	SMPD1	ASM_HUMAN	21	BACKGROUND
P48751	SLC4A3	B3A3_HUMAN	28	BACKGROUND
Q5EBL4	RILPL1	RIPL1_HUMAN	16	BACKGROUND
Q5EBL2	ZNF628	ZN628_HUMAN	60	BACKGROUND
P33908	MAN1A1	MA1A1_HUMAN	25	BACKGROUND
A8MU46	SMTNL1	SMTL1_HUMAN	31	BACKGROUND
Q8TAC9	SCAMP5	SCAM5_HUMAN	18	BACKGROUND
Q8TAC2	JOSD2	JOS2_HUMAN	19	BACKGROUND
Q9NQZ7	ENTPD7	ENTP7_HUMAN	18	BACKGROUND
A1L429	GAGE12E	GG12C_HUMAN	14	BACKGROUND
Q9NQZ3	DAZ1	DAZ1_HUMAN	19	BACKGROUND
Q9NQZ6	ZC4H2	ZC4H2_HUMAN	15	BACKGROUND
Q9NQZ5	STARD7	STAR7_HUMAN	21	BACKGROUND
Q6IPX1	LOC101060321	TBC3C_HUMAN	29	BACKGROUND
Q6IPX3	TCEAL6	TCAL6_HUMAN	22	BACKGROUND
Q9NQZ2	UTP3	SAS10_HUMAN	43	BACKGROUND
Q9H5L6	THAP9	THAP9_HUMAN	13	BACKGROUND
Q8TAD8	SNIP1	SNIP1_HUMAN	17	BACKGROUND
P48764	SLC9A3	SL9A3_HUMAN	25	BACKGROUND
Q8TAD2	IL17D	IL17D_HUMAN	25	BACKGROUND
Q8TAD7	C12orf75	OCC1_HUMAN	20	BACKGROUND
Q8TAD4	SLC30A5	ZNT5_HUMAN	47	BACKGROUND
Q5VYJ5	C10orf112	MALR1_HUMAN	7	BACKGROUND
Q7KZI7	MARK2	MARK2_HUMAN	15	BACKGROUND
Q9NQY0	BIN3	BIN3_HUMAN	12	BACKGROUND
A8K7I4	CLCA1	CLCA1_HUMAN	17	BACKGROUND
Q9NR80	ARHGEF4	ARHG4_HUMAN	14	BACKGROUND
Q9NQW1	SEC31B	SC31B_HUMAN	31	BACKGROUND
Q9NR82	KCNQ5	KCNQ5_HUMAN	31	BACKGROUND
Q9NR83	SLC2A4RG	S2A4R_HUMAN	33	BACKGROUND
Q9NQW8	CNGB3	CNGB3_HUMAN	43	BACKGROUND
Q9H5Z1	DHX35	DHX35_HUMAN	17	BACKGROUND
A6NDE4	RBMY1B	RBY1B_HUMAN	32	BACKGROUND
O43175	PHGDH	SERA_HUMAN	14	BACKGROUND
A6NDE8	GAGE12H	GG12H_HUMAN	14	BACKGROUND
O43174	CYP26A1	CP26A_HUMAN	21	BACKGROUND
Q9NQW5	PRDM7	PRDM7_HUMAN	8	BACKGROUND
Q9NQW6	ANLN	ANLN_HUMAN	21	BACKGROUND
O60403	OR10H2	O10H2_HUMAN	22	BACKGROUND
Q5VY80	RAET1L	RET1L_HUMAN	19	BACKGROUND
P0C5Y9	H2AFB1	H2AB1_HUMAN	16	BACKGROUND
O60404	OR10H3	O10H3_HUMAN	22	BACKGROUND
O43181	NDUFS4	NDUS4_HUMAN	15	BACKGROUND
P48788	TNNI2	TNNI2_HUMAN	13	BACKGROUND
P0C5Y4	KRTAP1-4	KRA14_HUMAN	53	BACKGROUND
O43182	ARHGAP6	RHG06_HUMAN	34	BACKGROUND
Q04323	UBXN1	UBXN1_HUMAN	25	BACKGROUND
O43184	ADAM12	ADA12_HUMAN	24	BACKGROUND
Q8TAB3	PCDH19	PCD19_HUMAN	15	BACKGROUND
Q9H5Z6	FAM124B	F124B_HUMAN	11	BACKGROUND
Q8TAB5	C1orf216	CA216_HUMAN	13	BACKGROUND
P55316	FOXG1	FOXG1_HUMAN	49	BACKGROUND
P55317	FOXA1	FOXA1_HUMAN	29	BACKGROUND
P55318	FOXA3	FOXA3_HUMAN	54	BACKGROUND
Q9NQX3	GPHN	GEPH_HUMAN	21	BACKGROUND
Q6AWC2	WWC2	WWC2_HUMAN	41	BACKGROUND
Q9NQX4	MYO5C	MYO5C_HUMAN	23	BACKGROUND
Q9NQX1	PRDM5	PRDM5_HUMAN	17	BACKGROUND
Q9NR90	DAZ3	DAZ3_HUMAN	19	BACKGROUND
Q9NQX0	PRDM6	PRDM6_HUMAN	60	BACKGROUND
Q9NR99	MXRA5	MXRA5_HUMAN	26	BACKGROUND
O43189	PHF1	PHF1_HUMAN	36	BACKGROUND
Q9NR97	TLR8	TLR8_HUMAN	21	BACKGROUND
Q9NQX7	ITM2C	ITM2C_HUMAN	16	BACKGROUND
O43187	IRAK2	IRAK2_HUMAN	16	BACKGROUND
O43186	CRX	CRX_HUMAN	24	BACKGROUND
Q9NQX5	NPDC1	NPDC1_HUMAN	34	BACKGROUND
O60412	OR7C2	OR7C2_HUMAN	14	BACKGROUND
Q9NR96	TLR9	TLR9_HUMAN	15	BACKGROUND
O43194	GPR39	GPR39_HUMAN	18	BACKGROUND
P48775	TDO2	T23O_HUMAN	22	BACKGROUND
O43193	MLNR	MTLR_HUMAN	32	BACKGROUND
Q8TAA3	PSMA8	PSA7L_HUMAN	16	BACKGROUND
Q5VXU3	CHIC1	CHIC1_HUMAN	60	BACKGROUND
Q8TAA1	AL163195.3	RNS11_HUMAN	10	BACKGROUND
Q5VXU9	C9orf84	CI084_HUMAN	14	BACKGROUND
Q8TAA9	VANGL1	VANG1_HUMAN	17	BACKGROUND
Q9NR61	DLL4	DLL4_HUMAN	30	BACKGROUND
Q9NR63	CYP26B1	CP26B_HUMAN	12	BACKGROUND
O43196	MSH5	MSH5_HUMAN	18	BACKGROUND
Q9NR64	KLHL1	KLHL1_HUMAN	17	BACKGROUND
P56470	LGALS4	LEG4_HUMAN	20	BACKGROUND
Q9NQU5	RP11-133K1.2	PAK6_HUMAN	24	BACKGROUND
A1L453	PRSS38	PRS38_HUMAN	26	BACKGROUND
Q9H5X1	FAM96A	FA96A_HUMAN	16	BACKGROUND
Q9H693	C16orf95	CP095_HUMAN	19	BACKGROUND
Q9H694	BICC1	BICC1_HUMAN	46	BACKGROUND
Q5VXT5	SYPL2	SYPL2_HUMAN	17	BACKGROUND
A6NDB9	PALM3	PALM3_HUMAN	41	BACKGROUND
Q9NR71	ASAH2	ASAH2_HUMAN	29	BACKGROUND
Q7KZN9	COX15	COX15_HUMAN	12	BACKGROUND
Q9NQV5	PRDM11	PRD11_HUMAN	16	BACKGROUND
A6NDD5	SYNDIG1L	SYN1L_HUMAN	27	BACKGROUND
Q9NQV6	PRDM10	PRD10_HUMAN	30	BACKGROUND
Q9NQV7	PRDM9	PRDM9_HUMAN	18	BACKGROUND
Q9NR77	PXMP2	PXMP2_HUMAN	20	BACKGROUND
Q9NQV8	PRDM8	PRDM8_HUMAN	28	BACKGROUND
P33897	ABCD1	ABCD1_HUMAN	21	BACKGROUND
Q5VY43	PEAR1	PEAR1_HUMAN	19	BACKGROUND
Q9H5Y7	SLITRK6	SLIK6_HUMAN	18	BACKGROUND
P0C5Z0	H2AFB2	H2AB2_HUMAN	16	BACKGROUND
Q8NHC5	OR14A16	O14AG_HUMAN	13	BACKGROUND
Q8NHC4	OR10J5	O10J5_HUMAN	16	BACKGROUND
Q8NHC7	OR14C36	O14CZ_HUMAN	15	BACKGROUND
Q8NHC6	null	O14L1_HUMAN	12	BACKGROUND
P55327	TPD52	TPD52_HUMAN	19	BACKGROUND
Q9NQS5	GPR84	GPR84_HUMAN	25	BACKGROUND
Q9NQS7	INCENP	INCE_HUMAN	60	BACKGROUND
Q8NHJ6	LILRB4	LIRB4_HUMAN	21	BACKGROUND
Q9NR46	SH3GLB2	SHLB2_HUMAN	33	BACKGROUND
Q9NQS1	AVEN	AVEN_HUMAN	54	BACKGROUND
Q9NQS3	PVRL3	PVRL3_HUMAN	33	BACKGROUND
O60447	EVI5	EVI5_HUMAN	30	BACKGROUND
A6NDI0	AC084851.1	TR49B_HUMAN	10	BACKGROUND
P10451	SPP1	OSTP_HUMAN	51	BACKGROUND
P41586	ADCYAP1R1	PACR_HUMAN	14	BACKGROUND
P41587	VIPR2	VIPR2_HUMAN	15	BACKGROUND
Q9H5V9	CXorf56	CX056_HUMAN	20	BACKGROUND
A8MTJ3	GNAT3	GNAT3_HUMAN	17	BACKGROUND
Q9H5V8	CDCP1	CDCP1_HUMAN	21	BACKGROUND
A8MTJ6	FOXI3	FOXI3_HUMAN	43	BACKGROUND
Q9H5V7	IKZF5	IKZF5_HUMAN	31	BACKGROUND
Q9NR48	ASH1L	ASH1L_HUMAN	30	BACKGROUND
Q9NQT8	KIF13B	KI13B_HUMAN	29	BACKGROUND
Q9NQT6	FSCN3	FSCN3_HUMAN	12	BACKGROUND
Q9NR56	MBNL1	MBNL1_HUMAN	25	BACKGROUND
Q9NQT5	EXOSC3	EXOS3_HUMAN	17	BACKGROUND
Q9NR55	BATF3	BATF3_HUMAN	15	BACKGROUND
Q9NQT4	EXOSC5	EXOS5_HUMAN	13	BACKGROUND
Q9NR50	EIF2B3	EI2BG_HUMAN	13	BACKGROUND
A9YTQ3	AHRR	AHRR_HUMAN	23	BACKGROUND
P41597	CCR2	CCR2_HUMAN	17	BACKGROUND
P41595	HTR2B	5HT2B_HUMAN	18	BACKGROUND
P43366	MAGEB1	MAGB1_HUMAN	31	BACKGROUND
P43364	MAGEA11	MAGAB_HUMAN	23	BACKGROUND
P41594	GRM5	GRM5_HUMAN	30	BACKGROUND
P43365	MAGEA12	MAGAC_HUMAN	32	BACKGROUND
P43362	MAGEA9B	MAGA9_HUMAN	39	BACKGROUND
P43363	MAGEA10	MAGAA_HUMAN	24	BACKGROUND
A8MTI9	null	PRS47_HUMAN	21	BACKGROUND
Q8NHH1	TTLL11	TTL11_HUMAN	27	BACKGROUND
O60423	ATP8B3	AT8B3_HUMAN	20	BACKGROUND
A1L3X4	null	MT1DP_HUMAN	19	BACKGROUND
Q9NR21	PARP11	PAR11_HUMAN	12	BACKGROUND
Q9NR20	DYRK4	DYRK4_HUMAN	11	BACKGROUND
A6NDG6	PGP	PGP_HUMAN	21	BACKGROUND
Q9NR22	PRMT8	ANM8_HUMAN	14	BACKGROUND
O60422	ONECUT3	ONEC3_HUMAN	57	BACKGROUND
A8MTL3	RNF212B	R212B_HUMAN	17	BACKGROUND
K7EJ46	SMIM22	SIM22_HUMAN	13	BACKGROUND
Q8NHH9	ATL2	ATLA2_HUMAN	14	BACKGROUND
Q9NQQ7	SLC35C2	S35C2_HUMAN	22	BACKGROUND
Q9NR28	DIABLO	DBLOH_HUMAN	12	BACKGROUND
P0C5W0	null	PNM6B_HUMAN	20	BACKGROUND
O60427	FADS1	FADS1_HUMAN	12	BACKGROUND
A1L3X0	ELOVL7	ELOV7_HUMAN	10	BACKGROUND
O60437	PPL	PEPL_HUMAN	55	BACKGROUND
Q9NQR1	SETD8	SETD8_HUMAN	35	BACKGROUND
Q9NR30	DDX21	DDX21_HUMAN	29	GRPR
Q9NR34	MAN1C1	MA1C1_HUMAN	19	BACKGROUND
O60431	OR1I1	OR1I1_HUMAN	13	BACKGROUND
Q9NR33	POLE4	DPOE4_HUMAN	19	BACKGROUND
Q5VY09	IER5	IER5_HUMAN	51	BACKGROUND
Q9H668	OBFC1	STN1_HUMAN	18	BACKGROUND
Q8NHG7	SVIP	SVIP_HUMAN	20	BACKGROUND
Q8NHG8	ZNRF2	ZNRF2_HUMAN	39	BACKGROUND
Q9NQR7	CCDC177	CC177_HUMAN	58	BACKGROUND
Q9H5U6	ZCCHC4	ZCHC4_HUMAN	15	BACKGROUND
P0C672	TSPAN19	TSN19_HUMAN	14	BACKGROUND
P0C671	C6orf222	CF222_HUMAN	19	BACKGROUND
Q9H665	IGFLR1	IGFR1_HUMAN	24	BACKGROUND
Q9NR09	BIRC6	BIRC6_HUMAN	30	BACKGROUND
Q71U36	TUBA1A	TBA1A_HUMAN	18	BACKGROUND
P10412	HIST1H1E	H14_HUMAN	60	BACKGROUND
P10415	BCL2	BCL2_HUMAN	19	BACKGROUND
Q9NR19	ACSS2	ACSA_HUMAN	24	BACKGROUND
Q6W2J9	BCOR	BCOR_HUMAN	22	BACKGROUND
Q9NR16	CD163L1	C163B_HUMAN	21	BACKGROUND
P34969	HTR7	5HT7R_HUMAN	16	BACKGROUND
P43320	CRYBB2	CRBB2_HUMAN	18	BACKGROUND
Q9H6D3	XKR8	XKR8_HUMAN	19	BACKGROUND
A6NDN3	GOLGA6B	GOG6B_HUMAN	36	BACKGROUND
A6NDN8	LOC101927789	UBIML_HUMAN	17	BACKGROUND
Q9NR11	ZNF302	ZN302_HUMAN	9	BACKGROUND
Q9NR12	PDLIM7	PDLI7_HUMAN	12	BACKGROUND
Q9NQP4	PFDN4	PFD4_HUMAN	16	BACKGROUND
Q9H6D7	HAUS4	HAUS4_HUMAN	19	BACKGROUND
Q8NHM5	KDM2B	KDM2B_HUMAN	32	BACKGROUND
Q6V1P9	DCHS2	PCD23_HUMAN	26	BACKGROUND
P34932	HSPA4	HSP74_HUMAN	15	BACKGROUND
P34931	HSPA1L	HS71L_HUMAN	13	BACKGROUND
P43354	NR4A2	NR4A2_HUMAN	25	BACKGROUND
P43351	RAD52	RAD52_HUMAN	14	BACKGROUND
P43358	MAGEA4	MAGA4_HUMAN	15	BACKGROUND
P43357	MAGEA3	MAGA3_HUMAN	32	BACKGROUND
P43356	MAGEA2	MAGA2_HUMAN	32	BACKGROUND
P43355	MAGEA1	MAGA1_HUMAN	17	BACKGROUND
Q567U6	CCDC93	CCD93_HUMAN	15	BACKGROUND
P43360	MAGEA6	MAGA6_HUMAN	32	BACKGROUND
Q8TA86	RP9	RP9_HUMAN	42	BACKGROUND
P43361	MAGEA8	MAGA8_HUMAN	18	BACKGROUND
Q9H6A0	DENND2D	DEN2D_HUMAN	22	BACKGROUND
Q8NHL6	LILRB1	LIRB1_HUMAN	25	BACKGROUND
A6NDK9	GOLGA6C	GOG6C_HUMAN	32	BACKGROUND
Q9H6A9	PCNXL3	PCX3_HUMAN	38	BACKGROUND
P32004	L1CAM	L1CAM_HUMAN	17	BACKGROUND
P0C6C1	ANKRD34C	AN34C_HUMAN	17	BACKGROUND
P34947	GRK5	GRK5_HUMAN	17	BACKGROUND
Q567V2	MPV17L2	M17L2_HUMAN	7	BACKGROUND
Q29836	HLA-B	1B67_HUMAN	25	BACKGROUND
Q9H6B1	ZNF385D	Z385D_HUMAN	20	BACKGROUND
Q9H6B4	CLMP	CLMP_HUMAN	27	BACKGROUND
Q8NHK3	null	KI2LB_HUMAN	13	BACKGROUND
Q9H6B9	EPHX3	EPHX3_HUMAN	15	BACKGROUND
Q9NQN1	OR2S2	OR2S1_HUMAN	23	BACKGROUND
A6NE21	null	F90AI_HUMAN	18	BACKGROUND
Q8NHS0	DNAJB8	DNJB8_HUMAN	32	BACKGROUND
Q8NHS1	CLDND2	CLDN2_HUMAN	19	BACKGROUND
P34995	PTGER1	PE2R1_HUMAN	34	BACKGROUND
P34998	CRHR1	CRFR1_HUMAN	18	BACKGROUND
Q8NHR9	PFN4	PROF4_HUMAN	10	BACKGROUND
Q8NI36	WDR36	WDR36_HUMAN	14	BACKGROUND
Q8NI35	INADL	INADL_HUMAN	17	BACKGROUND
Q8NI38	NFKBID	IKBD_HUMAN	13	BACKGROUND
Q8NI37	PPTC7	PPTC7_HUMAN	12	BACKGROUND
Q29865	HLA-C	1C18_HUMAN	25	BACKGROUND
Q9NQL9	DMRT3	DMRT3_HUMAN	52	BACKGROUND
O43151	TET3	TET3_HUMAN	35	BACKGROUND
O43150	ASAP2	ASAP2_HUMAN	27	BACKGROUND
Q9NQL2	RRAGD	RRAGD_HUMAN	17	BACKGROUND
E5RJM6	ANKRD65	ANR65_HUMAN	60	BACKGROUND
P55347	PKNOX1	PKNX1_HUMAN	21	BACKGROUND
O43147	SGSM2	SGSM2_HUMAN	25	BACKGROUND
O43148	RNMT	MCES_HUMAN	17	BACKGROUND
A8MTA8	FAM166B	F166B_HUMAN	19	BACKGROUND
Q8NI29	FBXO27	FBX27_HUMAN	20	BACKGROUND
O43143	DHX15	DHX15_HUMAN	45	GRPR
Q8NHQ9	DDX55	DDX55_HUMAN	26	BACKGROUND
Q8NI28	null	CG013_HUMAN	19	BACKGROUND
Q8NHQ8	RASSF8	RASF8_HUMAN	25	BACKGROUND
Q8NI27	THOC2	THOC2_HUMAN	36	BACKGROUND
O43149	ZZEF1	ZZEF1_HUMAN	35	BACKGROUND
Q8NHQ1	CEP70	CEP70_HUMAN	17	BACKGROUND
A6NE01	FAM186A	F186A_HUMAN	48	BACKGROUND
A6NE02	BTBD17	BTBDH_HUMAN	15	BACKGROUND
Q60I27	ALS2CL	AL2CL_HUMAN	16	BACKGROUND
Q9NQI0	DDX4	DDX4_HUMAN	19	BACKGROUND
Q8NHP8	PLBD2	PLBL2_HUMAN	19	BACKGROUND
O43155	FLRT2	FLRT2_HUMAN	25	BACKGROUND
Q8NHP7	EXD1	EXD1_HUMAN	16	BACKGROUND
Q8NI17	IL31RA	IL31R_HUMAN	19	BACKGROUND
O43159	RRP8	RRP8_HUMAN	19	BACKGROUND
O43156	TTI1	TTI1_HUMAN	14	BACKGROUND
O43157	PLXNB1	PLXB1_HUMAN	29	BACKGROUND
Q8NHP1	AKR7L	ARK74_HUMAN	19	BACKGROUND
Q8NHP6	MOSPD2	MSPD2_HUMAN	10	BACKGROUND
P43304	GPD2	GPDM_HUMAN	15	BACKGROUND
P43307	SSR1	SSRA_HUMAN	25	BACKGROUND
P43308	SSR2	SSRB_HUMAN	12	BACKGROUND
P34982	OR1D2	OR1D2_HUMAN	15	BACKGROUND
O43173	ST8SIA3	SIA8C_HUMAN	25	BACKGROUND
P34981	TRHR	TRFR_HUMAN	17	BACKGROUND
O43172	PRPF4	PRP4_HUMAN	16	BACKGROUND
Q8NI08	NCOA7	NCOA7_HUMAN	22	BACKGROUND
O43164	PJA2	PJA2_HUMAN	27	BACKGROUND
A7XYQ1	SOBP	SOBP_HUMAN	34	BACKGROUND
O43166	SIPA1L1	SI1L1_HUMAN	38	BACKGROUND
O43167	ZBTB24	ZBT24_HUMAN	22	BACKGROUND
A6NDP7	MYADML2	MADL2_HUMAN	16	BACKGROUND
A6NHP3	SPDYE2B	SPE2B_HUMAN	16	BACKGROUND
Q6AI12	ANKRD40	ANR40_HUMAN	28	BACKGROUND
A2RU67	KIAA1467	K1467_HUMAN	12	BACKGROUND
A6NI15	MSGN1	MSGN1_HUMAN	24	BACKGROUND
H3BPM6	MKRN2-AS1	MKROS_HUMAN	12	BACKGROUND
Q8WVH0	CPLX3	CPLX3_HUMAN	11	BACKGROUND
P53621	COPA	COPA_HUMAN	11	BACKGROUND
P41134	ID1	ID1_HUMAN	11	BACKGROUND
Q8N8P6	null	YX004_HUMAN	18	BACKGROUND
